0.0	3.0	6.0	16.0	29.0	28.0	19.0	23.0	27.0	34.0	1.0
3.0	0.0	3.0	13.0	26.0	25.0	16.0	20.0	24.0	31.0	2.0
6.0	3.0	0.0	10.0	23.0	22.0	13.0	17.0	21.0	28.0	3.0
16.0	13.0	10.0	0.0	19.0	18.0	9.0	13.0	17.0	24.0	4.0
29.0	26.0	23.0	19.0	0.0	1.0	10.0	18.0	22.0	29.0	5.0
28.0	25.0	22.0	18.0	1.0	0.0	9.0	17.0	21.0	28.0	6.0
19.0	16.0	13.0	9.0	10.0	9.0	0.0	8.0	12.0	19.0	7.0
23.0	20.0	17.0	13.0	18.0	17.0	8.0	0.0	4.0	15.0	8.0
27.0	24.0	21.0	17.0	22.0	21.0	12.0	4.0	0.0	19.0	9.0
34.0	31.0	28.0	24.0	29.0	28.0	19.0	15.0	19.0	0.0	10.0
